DISTRICT_ID,ACTIVE_OR_HISTORIC,DISTRICT_NAME,CREATION_ORDINANCE,BNDRY_LAST_MODIFIED_DATE,LEGAL_START_DATE,LEGAL_END_DATE,TAX_NUMBER,DATA_SOURCE,FILE_LINK,WEB_LINK,COMMENTS_DISTRICT_SPECIFIC,COMMENTS_LEGISLATIVE_PROCESS,WEB_LINK_STATE_DOLA,NOTES,SPECIAL_FEE_TYPE
6,ACTIVE,WEST COLFAX BUSINESS IMPROVEMENT DISTRICT,20060598ord.pdf,2012-05-19 00:00:00,2006-09-11 00:00:00,,,Survey,Z:\DAC\Districts\Districts - Business Improvement Districts\B06 West Colfax BID,,"Inclusion/exclusion per BID Statute.  Commercial property in Service  Area automatically will be included in District Boundaries.  Does not include, residential, non-profit, or agricultural lands.  District may provide services outside boundary.",,,Boundary mapped from digitized map filed with Clerk.   Legal description consists of list of properties per Assessor's records - not verified.,
3,ACTIVE,CHERRY CREEK NORTH BUSINESS IMPROVEMENT DISTRICT NO. 1,19880741ord.pdf,2012-06-15 00:00:00,1988-12-06 00:00:00,,,Survey,Z:\DAC\Districts\Districts - Business Improvement Districts\B03 Cherry Creek North BID,,,,,,
5,ACTIVE,COLFAX BUSINESS IMPROVEMENT DISTRICT,19890334ord.pdf,2012-05-19 00:00:00,1989-06-26 00:00:00,,,Survey,Z:\DAC\Districts\Districts - Business Improvement Districts\B05 Colfax BID,,,,,Parcels traced on GIS per description.,
1,ACTIVE,OLD SOUTH GAYLORD BUSINESS IMPROVEMENT DISTRICT,19900803ord.pdf,2012-05-19 00:00:00,1990-12-21 00:00:00,,,Survey,Z:\DAC\Districts\Districts - Business Improvement Districts\B01 Old South Gaylord BID,,,,,Parcels traced on GIS per description.,
4,ACTIVE,DOWNTOWN DENVER BUSINESS IMPROVEMENT DISTRICT,19920501ord.pdf,2012-05-19 00:00:00,1992-07-29 00:00:00,,,Survey,Z:\DAC\Districts\Districts - Business Improvement Districts\B04 Downtown Denver BID,,,,,Parcels traced on GIS per description.,
2,ACTIVE,CHERRY CREEK SUBAREA BUSINESS IMPROVEMENT DISTRICT,20090707ord.pdf,2012-05-11 00:00:00,2009-12-04 00:00:00,,,Survey,Z:\DAC\Districts\Districts - Business Improvement Districts\B02 Cherry Creek Subarea BID,,,,,Parcels traced on GIS per description.,
8,ACTIVE,FEDERAL BOULEVARD BUSINESS IMPROVEMENT DISTRICT,20120402ord.pdf,2012-09-24 00:00:00,2012-08-06 00:00:00,,,Survey,Z:\DAC\Districts\Districts - Business Improvement Districts\B08 Federal Blvd BID,,Does not include residential property within the described boundary.,,,Legal description written and checked by Survey and mapped by Assessor's office and brought into GIS by Survey.,
9,ACTIVE,BLUEBIRD BUSINESS IMPROVEMENT DISTRICT,20130292ord.pdf,2014-04-30 00:00:00,2013-06-28 00:00:00,,,Assessment,Z:\DAC\Districts\Districts - Business Improvement Districts\B09 Bluebird BID,,,,,,
10,ACTIVE,FAX-MAYFAIR BUSINESS IMPROVEMENT DISTRICT,20140462ord.pdf,2017-02-03 00:00:00,2014-08-21 00:00:00,,,,Z:\DAC\Districts\Districts - Business Improvement Districts\B10 Colfax Mayfair BID,,,,,,
13,ACTIVE,FIVE POINTS BUSINESS IMPROVEMENT DISTRICT,20160341ord.pdf,2017-02-02 00:00:00,2016-06-02 00:00:00,,,,Z:\DAC\Districts\Districts - Business Improvement Districts\B13 Five Points BID,,,,,,
11,ACTIVE,SANTA FE BUSINESS IMPROVEMENT DISTRICT,20140463ord.pdf,2017-02-03 00:00:00,2014-08-22 00:00:00,,,,Z:\DAC\Districts\Districts - Business Improvement Districts\B11 Santa Fe BID,,,,,,
12,ACTIVE,RINO BUSINESS IMPROVEMENT DISTRICT,20150304ord.pdf,2017-02-02 00:00:00,2015-06-03 00:00:00,,,,Z:\DAC\Districts\Districts - Business Improvement Districts\B12 RINO BID,,,,,,
