DISTRICT,REP,PARTY,GLOBALID
8,Randy L Baumgardner,R,{00000000-0000-0000-0000-000000000000}
25,Kevin Priola,R,{00000000-0000-0000-0000-000000000000}
24,Beth Martinez Humenik,R,{00000000-0000-0000-0000-000000000000}
5,Kerry Donovan,D,{00000000-0000-0000-0000-000000000000}
29,Rhonda Fields,D,{00000000-0000-0000-0000-000000000000}
15,Kevin Lundberg,R,{00000000-0000-0000-0000-000000000000}
18,Stephen Fenberg,D,{00000000-0000-0000-0000-000000000000}
35,Larry W Crowder,R,{00000000-0000-0000-0000-000000000000}
13,John Cooke,R,{00000000-0000-0000-0000-000000000000}
31,Lois Court,D,{00000000-0000-0000-0000-000000000000}
10,Owen Hill,R,{00000000-0000-0000-0000-000000000000}
22,Andy Kerr,D,{00000000-0000-0000-0000-000000000000}
32,Irene Aguilar,D,{00000000-0000-0000-0000-000000000000}
19,Rachel Zenzinger,D,{00000000-0000-0000-0000-000000000000}
20,Cheri Jahn,D,{00000000-0000-0000-0000-000000000000}
6,Ellen Roberts,R,{00000000-0000-0000-0000-000000000000}
2,Kevin J Grantham,R,{00000000-0000-0000-0000-000000000000}
14,John Kefalas,D,{00000000-0000-0000-0000-000000000000}
12,Bob Gardner,R,{00000000-0000-0000-0000-000000000000}
1,Jerry Sonnenberg,R,{00000000-0000-0000-0000-000000000000}
28,Nancy Todd,D,{00000000-0000-0000-0000-000000000000}
17,Matt Jones,D,{00000000-0000-0000-0000-000000000000}
23,Vicki Marble,R,{00000000-0000-0000-0000-000000000000}
16,Tim Neville,R,{00000000-0000-0000-0000-000000000000}
27,Jack Tate,R,{00000000-0000-0000-0000-000000000000}
9,Kent Lambert,R,{00000000-0000-0000-0000-000000000000}
33,Angela Williams,D,{00000000-0000-0000-0000-000000000000}
11,Michael Merrifield,D,{00000000-0000-0000-0000-000000000000}
26,Daniel Kagan,D,{00000000-0000-0000-0000-000000000000}
34,Lucia Guzman,D,{00000000-0000-0000-0000-000000000000}
3,"Leroy Garcia, Jr.",D,{00000000-0000-0000-0000-000000000000}
21,Dominick Moreno,D,{00000000-0000-0000-0000-000000000000}
7,Ray Scott,R,{00000000-0000-0000-0000-000000000000}
4,Jim Smallwood,R,{00000000-0000-0000-0000-000000000000}
30,Chris Holbert,R,{00000000-0000-0000-0000-000000000000}
